STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Plaza Shopping Center - Pan Cal,Electrify America,1334 Saratoga Avenue,San Jose,CA,95129,875,350,0.43,0.31,4,NULL,NULL
Delhi Unified School District,EVConnect,16491 Schendel Avenue,Delhi,CA,95315,120,50,0.3,NULL,NULL,NULL,NULL
Walmart - Fremont,Electrify America,44009 Osgood Road,Fremont,CA,94539,875,350,0.43,0.31,4,NULL,NULL
Walmart - San Leandro,Electrify America,1919 Davis Street,San Leandro,CA,94577,875,350,0.43,0.31,4,NULL,NULL
Lawrence Oakmead Shopping Center,Electrify America,540-548 Lawrence Expressway,Sunnyvale,CA,94085,875,350,0.43,0.31,4,NULL,NULL
Bank of America Santa Teresa-Bernal CA3-169,Electrify America,155 Bernal Road,San Jose,CA,95119,875,350,0.43,0.31,4,NULL,NULL
Bank of America - Castro Valley,Electrify America,3067 Castro Valley Boulevard,Castro Valley,CA,94546,875,350,0.43,0.31,4,NULL,NULL
Brookvale Shopping Center,Electrify America,35720 Fremont Boulevard,Fremont,CA,94536,875,350,0.43,0.31,4,NULL,NULL
Britannia Point Eden Business Park on Research Way,ChargePoint,4010 Point Eden Way,Hayward,CA,94545,50,24,0.25,NULL,NULL,NULL,NULL
Britannia Oyster Point Business Plaza,Blink,1110 Veterans Boulevard,South San Francisco,CA,94080,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Walmart - Tracy,Electrify America,3010 West Grant Line Road,Tracy,CA,95304,875,350,0.43,0.31,4,NULL,NULL
Walmart - Union City,Electrify America,30600 Dyer Street,Union City,CA,94587,875,350,0.43,0.31,4,NULL,NULL
Facebook,ChargePoint,309 Constitution Drive,Menlo Park,CA,94025,62,62,0,NULL,NULL,NULL,NULL
Walmart - Stockton,Electrify America,10355 Trinity Parkway,Stockton,CA,95219,875,350,0.43,0.31,4,NULL,NULL
Safeway - Belmont,Electrify America,1100 El Camino Real,Belmont,CA,94002,875,350,0.43,0.31,4,NULL,NULL
Bank of America Financial Center,Electrify America,333 North Santa Cruz Avenue,Los Gatos,CA,95030,875,350,0.43,0.31,4,NULL,NULL
Lucky - Oakland,Electrify America,247 East 18th Street,Oakland,CA,94606,875,350,0.43,0.31,4,NULL,NULL
Whole Foods Mill Valley - E Blithedale,EVgo,731 East Blithedale Avenue,Mill Valley,CA,94941,125,50,0.35,0.3,6.99,NULL,NULL
Mechanics Bank,EVgo,201 41st Street,Richmond,CA,94805,125,50,0.35,0.3,6.99,NULL,NULL
Oakland - Lafayette Square,EVgo,610 East 10th Street,Oakland,CA,94606,125,50,0.35,0.3,6.99,NULL,NULL
Foster City - High Power Charging Plaza,EVgo,1030 East Hillsdale Boulevard,Foster City,CA,94404,125,50,0.35,0.3,6.99,NULL,NULL
Chula Vista Lot HPCP,EVgo,1133 Chula Vista,Burlingame,CA,94010,125,50,0.35,0.3,6.99,NULL,NULL
Lucky San Leandro,EVgo,1300 Fairmont Drive,San Leandro,CA,94578,125,50,0.35,0.3,6.99,NULL,NULL
Lucky - Hayward,EVgo,25151 Santa Clara Street,Hayward,CA,94544,125,50,0.35,0.3,6.99,NULL,NULL
Westlake Shopping Center,EVgo,75 Southgate Avenue,Daly City,CA,94015,125,50,0.35,0.3,6.99,NULL,NULL
Walmart,EVgo,4893 Lone Tree Way,Antioch,CA,94531,125,50,0.35,0.3,6.99,NULL,NULL
Los Altos High School,None,201 Almond Avenue,Los Altos,CA,94022,NULL,NULL,0.18,NULL,NULL,NULL,NULL
Almond Elementary School,None,550 Almond Avenue,Los Altos,CA,94022,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Egan Junior High School,None,100 West Portola Avenue,Los Altos,CA,94022,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4120 San Pablo Avenue,Electrify America,4120 San Pablo Avenue,Emeryville,CA,94608,875,350,0.43,0.31,4,NULL,NULL
Bank of America Blossom Hill,Electrify America,971 Blossom Hill Road,San Jose,CA,95123,875,350,0.43,0.31,4,NULL,NULL
105 Chowchilla Boulevard,ChargePoint,105 Chowchilla Bvd,Chowchilla,CA,93610,62,62,0.58,NULL,NULL,NULL,NULL
1458 Mercey Springs Road,ChargePoint,1458 Mercey Springs Road,Los Banos,CA,93635,62,62,0.58,NULL,NULL,NULL,NULL
Jelly Belly,EVConnect,1 Jelly Belly Lane,Fairfield,CA,94533,120,50,0.35,NULL,NULL,NULL,NULL
Bank of America,Electrify America,620 Main Street,Half Moon Bay,CA,94019,875,350,0.43,0.31,4,NULL,NULL
Target,ChargePoint,2355 West Kettleman Lane,Lodi,CA,95242,62,62,0.5,NULL,NULL,NULL,NULL
Safeway,Electrify America,3350 Mission Street,San Francisco,CA,94110,875,350,0.43,0.31,4,NULL,NULL
Target,ChargePoint,2800 Naglee Road,Tracy,CA,95304,62,62,0.58,NULL,NULL,NULL,NULL
1000 Van Ness,EVgo,1000 Van Ness Avenue,San Francisco,CA,94109,125,50,0.35,0.3,6.99,NULL,NULL
Bayside Business Park,None,46714 Fremont Boulevard,Fremont,CA,94538,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Safeway 1502 (Pleasanton, CA)",Electrify America,1701 Santa Rita Road,Pleasanton,CA,94566,875,350,0.43,0.31,4,NULL,NULL
Safeway,Electrify America,2350 Noriega Street,San Francisco,CA,94122,875,350,0.43,0.31,4,NULL,NULL
5519 El Dorado Lane,ChargePoint,5801 Sterling Street,Dublin,CA,94568,62,62,0.25,NULL,NULL,NULL,NULL
Target,ChargePoint,2061 Cadenasso Drive,Fairfield,CA,94533,62,62,0.58,NULL,NULL,NULL,NULL
Lakeshore Plaza,Electrify America,4258 Ocean Avenue,San Francisco,CA,94132,875,350,0.43,0.31,4,NULL,NULL
Bank of America Sonoma,Electrify America,35 West Napa Street,Sonoma,CA,95476,875,350,0.43,0.31,4,NULL,NULL
Broadway Plaza,Electrify America,1275 Broadway Plaza,Walnut Creek,CA,94596,875,350,0.43,0.31,4,NULL,NULL
Shell - Lodi,ChargePoint,6437 West Banner Street,Lodi,CA,95242,62,62,0.58,NULL,NULL,NULL,NULL
Ampm,EVConnect,800 East Kettleman Lane,Lodi,CA,95240,300,120,0.35,NULL,NULL,NULL,NULL
Bank of America Hillsdale,Electrify America,2900 South El Camino Real,San Mateo,CA,94403,875,350,0.43,0.31,4,NULL,NULL
Laurelwood Shopping Center,EVgo,1206 West Hillsdale Boulevard,San Mateo,CA,94403,125,50,0.35,0.3,6.99,NULL,NULL
Safeway,Electrify America,1 Camino Alto,Mill Valley,CA,94941,875,350,0.43,0.31,4,NULL,NULL
Safeway,Electrify America,2558 Berryessa Road,San Jose,CA,95132,875,350,0.43,0.31,4,NULL,NULL
Bank of America,Electrify America,2300 Alum Rock Avenue,San Jose,CA,95116,875,350,0.43,0.31,4,NULL,NULL
Safeway,Electrify America,1335 Webster Street,San Francisco,CA,94115,875,350,0.43,0.31,4,NULL,NULL
Georgina P. Blach Intermediate School,"None, Unknown",1120 Covington Road,Los Altos,CA,94024,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lucky San Francisco,EVgo,1750 Fulton Street,San Francisco,CA,94117,125,50,0.35,0.3,6.99,NULL,NULL
City of Patterson Recreation and Community Services Department,ChargePoint,1033 West Las Palmas Avenue,Patterson,CA,95363,50,24,0.12,NULL,NULL,0.01,NULL
Target,ChargePoint,10424 Trinity Parkway,Stockton,CA,95219,62,62,0.58,NULL,NULL,NULL,NULL
Somo Village,ChargePoint,1400 Valley House Drive East,Rohnert Park,CA,94928,100,50,0.25,NULL,NULL,NULL,NULL
Meta Mpk21.9-22,ChargePoint,1 Facebook Way,Menlo Park,CA,94025,100,50,0,NULL,NULL,NULL,NULL
Chevron Gilroy,ChargePoint,7110 Camino Arroyo,Gilroy,CA,95020,100,50,0.58,NULL,NULL,NULL,NULL
Twin Canyon Shopping Center,EVgo,2550 San Ramon Valley Boulevard,San Ramon,CA,94583,125,50,0.35,0.3,6.99,NULL,NULL
Rio Sands Lodge,EVConnect,205 CA-12,Rio Vista,CA,94571,120,50,0.4,NULL,NULL,NULL,NULL
Two Rock Station,"SWTCH, None",7616 Valley Ford Road,Petaluma,CA,94952,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Princeton Plaza Mall,Electrify America,1375 Blossom Hill Road,San Jose,CA,95118,875,350,0.43,0.31,4,NULL,NULL
Groveland Library,ChargePoint,18990 CA-120,Groveland,CA,95321,62,62,0.58,NULL,NULL,NULL,NULL
Safeway,Electrify America,600 Patterson Boulevard,Pleasant Hill,CA,94523,875,350,0.43,0.31,4,NULL,NULL
Monta Vista High School,Powerflex,21840 McClellan Road,Cupertino,CA,95014,NULL,NULL,0.2,NULL,NULL,NULL,NULL
Carlmont Village Shopping Center,EVgo,1049 Alameda de las Pulgas,Belmont,CA,94002,125,50,0.35,0.3,6.99,NULL,NULL
Serramonte Main Library,EVgo,40 Wembley Drive,Daly City,CA,94015,125,50,0.35,0.3,6.99,NULL,NULL
Simon Napa Premium Outlet,Electrify America,629 FACTORY STORES DRIVE,Napa,CA,94558,875,350,0.43,0.31,4,NULL,NULL
Save Mart FoodMaxx,Electrify America,39966 Cedar Boulevard,Newark,CA,94560,875,350,0.43,0.31,4,NULL,NULL
Meta Mpk26-03,ChargePoint,180 Jefferson Drive,Menlo Park,CA,94025,62,62,0,NULL,NULL,NULL,NULL
Whole Foods Market,EVgo,1150 Ocean Avenue,San Francisco,CA,94112,125,50,0.35,0.3,6.99,NULL,NULL
Kaiser Permanente San Rafael Medical Center,EVgo,99 Montecillo Road,San Rafael,CA,94903,125,50,0.35,0.3,6.99,NULL,NULL
Ford Point Fast Charger,ChargePoint,1414 Harbour Way South,Richmond,CA,94804,100,50,NULL,NULL,NULL,NULL,9
BP - Basra Associates Inc,Blink,3650 Nelson Road,Fairfield,CA,94533,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7-eleven,ChargePoint,2360 West Grant Line Road,Tracy,CA,95377,62,62,0.46,NULL,NULL,NULL,NULL
SOMA Grand,EVgo,1160 Mission Street,San Francisco,CA,94103,125,50,0.35,0.3,6.99,NULL,NULL
Ripon Loveâ€™s Travel Stop,EVConnect,1553 West Colony Road,Ripon,CA,95366,350,350,0.3,NULL,NULL,NULL,NULL
ARCO 7147 (Stockton),EVConnect,1206 East March Lane,Stockton,CA,95210,300,120,0.35,NULL,NULL,NULL,NULL
Whole Foods Market,EVgo,4800 El Camino Real,Los Altos,CA,94022,125,50,0.35,0.3,6.99,NULL,NULL
Whole Foods Market,EVgo,911 Soquel Avenue,Santa Cruz,CA,95062,125,50,0.35,0.3,6.99,NULL,NULL
FoodMaxx Newark #462,EVgo,39966 Cedar Boulevard,Newark,CA,94560,125,50,0.35,0.3,6.99,NULL,NULL
Target,Electrify America,1405 West Pacheco Boulevard,Los Banos,CA,93635,875,350,0.43,0.31,4,NULL,NULL
Chargepoint HQ 44,ChargePoint,240 East Hacienda Avenue,Campbell,CA,95008,62,62,0.25,NULL,NULL,NULL,NULL
Bank of America,Electrify America,6490 Camden Avenue,San Jose,CA,95120,875,350,0.43,0.31,4,NULL,NULL
Lucky Castro Valley,EVgo,3401 Castro Valley Boulevard,Castro Valley,CA,94546,125,50,0.35,0.3,6.99,NULL,NULL
Site Centers Hilltop Plaza,Electrify America,3401 Blume Drive,Richmond,CA,94806,875,350,0.43,0.31,4,NULL,NULL
Chevron Station,ChargePoint,875 Blossom Hill Road,San Jose,CA,95123,62,62,0.47,NULL,NULL,NULL,NULL
Megahub - 350 Pacific,EVgo,350 Pacific Avenue,San Francisco,CA,94111,125,50,0.35,0.3,6.99,NULL,NULL
Bank of America Mission-Sorenson,Electrify America,26801 Mission Boulevard,Hayward,CA,94544,875,350,0.43,0.31,4,NULL,NULL
Safeway,Electrify America,1300 West San Carlos Street,San Jose,CA,95126,875,350,0.43,0.31,4,NULL,NULL
Yosemite Westgate Lodge-Buck Meadows Lodge,Electrify America,7649 CA-120,Groveland,CA,95321,875,350,0.43,0.31,4,NULL,NULL
Chevron,EVgo,320 East Millbrae Avenue,Millbrae,CA,94030,125,50,0.35,0.3,6.99,NULL,NULL
Save Mart-Lucky,Electrify America,1590 Sycamore Avenue,Hercules,CA,94547,875,350,0.43,0.31,4,NULL,NULL
Meta Mpk17-02,ChargePoint,1 Hacker Way Building 17,Menlo Park,CA,94025,62,62,0,NULL,NULL,NULL,NULL
Dirito Brothers,ChargePoint,2020 North Main Street,Walnut Creek,CA,94596,52,23.9,NULL,NULL,NULL,0.2,NULL
Visitor Center,ChargePoint,NASA Parkway,Mountain View,CA,94043,100,50,0.25,NULL,NULL,NULL,NULL
Meta Mpk29-05 Fc,ChargePoint,220 Jefferson Drive,Menlo Park,CA,94025,100,50,0,NULL,NULL,NULL,NULL
Meta Mpk57-05,ChargePoint,1350 Willow Road,Menlo Park,CA,94025,100,50,0,NULL,NULL,NULL,NULL
Westfield Valley Fair,Electrify America,2855 Stevens Creek Boulevard,Santa Clara,CA,95050,875,350,0.43,0.31,4,NULL,NULL
The Fremont Auto Mall,ChargePoint,5740 Cushing Parkway,Fremont,CA,94538,62,62,0,NULL,NULL,NULL,NULL
Chowchilla,EVConnect,18208 Avenue 24,Chowchilla,CA,93610,125,50,0.5,NULL,NULL,NULL,NULL
ROIC-Granada Shopping Center,Electrify America,1951 Holmes Street,Livermore,CA,94550,875,350,0.43,0.31,4,NULL,NULL
Rotten Robbie's,EVConnect,1202 Oakland Road,San Jose,CA,95112,300,120,0.4,NULL,NULL,NULL,NULL
Haidlen Ford,ChargePoint,1355 CA-120,Oakdale,CA,95361,62,62,0.25,NULL,NULL,NULL,NULL
Gilroy Premium Outlets,EVgo,681 Leavesley Road,Gilroy,CA,95020,125,50,0.35,0.3,6.99,NULL,NULL
Musich - Crystal Springs Village SC,Electrify America,100 Deanza Boulevard,San Mateo,CA,94402,875,350,0.43,0.31,4,NULL,NULL
Topline Milpitas Square,Electrify America,320 Barber Ct,Milpitas,CA,95035,875,350,0.43,0.31,4,NULL,NULL
Motel 6 - Santa Nella,Shell Recharge,28821 Gonzaga Road,Santa Nella,CA,95322,100,40,0.45,NULL,NULL,NULL,NULL
Mercedes Benz of San Francisco Station 4,ChargePoint,2233 Gellert Boulevard,South San Francisco,CA,94080,62,62,0,NULL,NULL,NULL,NULL
Whole Foods Temescal,EVgo,5110 Telegraph Avenue,Oakland,CA,94609,125,50,0.35,0.3,6.99,NULL,NULL
23519 Robertson Boulevard,Shell Recharge,23519 Robertson Boulevard,Chowchilla,CA,93610,100,40,0.4,NULL,NULL,NULL,NULL
Homestead High School,Powerflex,21370 Homestead Road,Cupertino,CA,95014,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Whole Foods San Francisco -Trinity Place,EVgo,1185 Market Street,San Francisco,CA,94103,125,50,0.35,0.3,6.99,NULL,NULL
Preylock Zanker Road Lot,Electrify America,2860 Zanker Road,San Jose,CA,95134,875,350,0.43,0.31,4,NULL,NULL
Target,Electrify America,4500 Macdonald Avenue,Richmond,CA,94805,875,350,0.43,0.31,4,NULL,NULL
AMPM Merced,EVConnect,810 South Coffee Street,Merced,CA,95341,300,120,0.35,NULL,NULL,NULL,NULL
