STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Aloft Hotel,ChargePoint,9920 Northeast Cascades Parkway,Portland,OR,97220,50,24,0.18,NULL,NULL,NULL,NULL
New Seasons Market - Grant Park,EVgo,3210 Northeast Broadway Street,Portland,OR,97232,125,50,0.29,0.25,4.99,NULL,NULL
7-Eleven,EVgo,Northeast 82nd Way & Northeast Air Cargo Road,Portland,OR,97218,125,50,0.29,0.25,4.99,NULL,NULL
Space Age Fuel,Electrify America,77522 South Highway 207,Hermiston,OR,97838,875,350,0.43,0.31,4,NULL,NULL
Walmart - Island City,Electrify America,11619 Island Avenue,Island City,OR,97850,875,350,0.43,0.31,4,NULL,NULL
Walmart - Hood River,Electrify America,2700 Wasco Street,Hood River,OR,97031,875,350,0.43,0.31,4,NULL,NULL
Harley Davisdon,ChargePoint,870 East Berkeley Street,Gladstone,OR,97027,50,24,0.44,NULL,NULL,NULL,NULL
Eastport Plaza,Shell Recharge,4000 Southeast 82nd Avenue,Portland,OR,97206,100,40,0.19,NULL,NULL,NULL,5
Columbia Gorge Outlets,Electrify America,450 Northwest 257th Way,Troutdale,OR,97060,875,350,0.43,0.31,4,NULL,NULL
Target,Electrify America,9000 Southeast Sunny-side Road,Clackamas,OR,97015,875,350,0.43,0.31,4,NULL,NULL
10880 Southeast McLoughlin Boulevard,Shell Recharge,10880 Southeast McLoughlin Boulevard,milwaukie,OR,97222,125,50,0,NULL,NULL,NULL,5
Clackamas Town Center REI,Volta,12000 Southeast 82Nd Avenue,Happy Valley,OR,97086,NULL,NULL,0,NULL,NULL,NULL,NULL
Pendleton Station Union Pacific,ChargePoint,268 Southwest Frazer Avenue,Pendleton,OR,97801,62,62,0.35,NULL,NULL,NULL,NULL
McLoughlin Chevrolet,None,16700 Southeast McLoughlin Boulevard,Milwaukie,OR,97267,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EV4 Oregon LLC,ChargePoint,2727 Southeast Raymond Street,Portland,OR,97202,52,23.9,0.4,NULL,NULL,NULL,NULL
Kroger Fred Meyer,Electrify America,6615 Northeast Glisan Street,Portland,OR,97213,875,350,0.43,0.31,4,NULL,NULL
Kroger Fred Meyer,Electrify America,3805 Southeast Hawthorne Boulevard,Portalnd,OR,97214,875,350,0.43,0.31,4,NULL,NULL
Courtyard by Marriott,OpConnect,15686 Southwest Sequoia Parkway,Tigard,OR,97224,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lincoln Center - Gustav's Restaurant,OpConnect,10300 Southwest Greenburg Road,Tigard,OR,97223,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Banks - Jim's Thriftway,"Webasto, EVCS",660 Main Street,Banks,OR,97106,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Newberg - Chevron,Webasto,3745 East Portland Road,Newberg,OR,97132,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Scappoose - Fred Meyer,Webasto,51501 Columbia River Highway,Scappoose,OR,97056,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Westport - Berry Patch,Webasto,49289 US 30,WESTPORT,OR,97016,NULL,NULL,NULL,NULL,19.99,NULL,7.5
McMinnville - Oregon Mutual Insurance,Webasto,410 Northeast Baker Street,McMinnville,OR,97128,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Cannon Beach - Cannon Beach RV Resort,Webasto,340 Elk Creek Road,Cannon Beach,OR,97110,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Astoria - Sunset Empire Transit District,Webasto,900 Marine Drive,Astoria,OR,97103,NULL,NULL,NULL,NULL,19.99,NULL,7.5
"Simon Woodburn Premium Outlets (Woodburn, OR)",Electrify America,1001 North ARNEY Road,Woodburn,OR,97071,875,350,0.43,0.31,4,NULL,NULL
Electric Avenue,Shell Recharge,121 Southwest Salmon Street,Portland,OR,97204,125,50,0,NULL,NULL,NULL,5
Tillamook - Fred Meyer,Webasto,2500 North Main Street,Tillamook,OR,97141,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Washington Square,EVgo,9585 Southwest Washington Square Road,Portland,OR,97223,125,50,0.29,0.25,4.99,NULL,NULL
New Seasons Market - Slabtown,EVgo,2170 Northwest Raleigh Street,Portland,OR,97210,125,50,0.29,0.25,4.99,NULL,NULL
REI,EVgo,7410 Southwest Bridgeport Road,Portland,OR,97224,125,50,0.29,0.25,4.99,NULL,NULL
Walmart - Sherwood,Electrify America,21320 Southwest Langer Farms Parkway,Sherwood,OR,97140,875,350,0.43,0.31,4,NULL,NULL
Walmart - Cornelius,Electrify America,220 North Adair Street,Cornelius,OR,97113,875,350,0.43,0.31,4,NULL,NULL
CCRider Transit Center,Shell Recharge,205 West B Street,Rainier,OR,97048,125,50,0.05,NULL,NULL,NULL,6
Clatskanie PUD Office,Shell Recharge,495 East Columbia River Highway,Clatskanie,OR,97016,125,50,0.05,NULL,NULL,NULL,6
Harley Davidson,ChargePoint,10770 Southwest Cascade Avenue,Tigard,OR,97223,50,24,NULL,NULL,NULL,0.15,NULL
Southwest Wilsonville Road & Memorial Drive,Shell Recharge,Southwest Wilsonville Road & Memorial Drive,Wilsonville,OR,97070,100,40,0.19,NULL,NULL,NULL,5
11885 SouthWest Canyon Road,Shell Recharge,11885 SouthWest Canyon Road,Beaverton,OR,97005,100,40,0.19,NULL,NULL,NULL,5
Walmart,Electrify America,7600 Southwest Dartmouth Street,Tigard,OR,97223,875,350,0.43,0.31,4,NULL,NULL
Woodburn - Woodburn Transit Center,Webasto,2875 Newburg Highway,Woodburn,OR,97071,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Fred Meyer 40,Electrify America,7555 Southwest BARBUR Boulevard,Portland,OR,97219,875,350,0.43,0.31,4,NULL,NULL
Bank of America,Electrify America,400 4th Street,Lake Oswego,OR,97034,875,350,0.43,0.31,4,NULL,NULL
64001 Columbia River Highway,ChargePoint,64001 Columbia River Highway,Deer Island,OR,97054,62,62,0.13,NULL,NULL,NULL,NULL
Clatsop Community College,EVConnect,1651 Lexington Avenue,Astoria,OR,97103,125,50,0,NULL,NULL,NULL,NULL
Target,Electrify America,10775 Southwest Beaverton Hillsdale Highway,Beaverton,OR,97005,875,350,0.43,0.31,4,NULL,NULL
Carr Chevrolet,None,15005 Southwest Tualatin Valley Highway,Beaverton,OR,97006,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anna's Island Café,ChargePoint,4717 North Lagoon Avenue,Portland,OR,97217,62,62,0.15,NULL,NULL,NULL,NULL
South Lot,ChargePoint,1115 Pacific Avenue,Tillamook,OR,97141,62,62,0,NULL,NULL,NULL,NULL
Fred Meyer,Electrify America,695 South Highway 101,Warrenton,OR,97146,875,350,0.43,0.31,4,NULL,NULL
Clatskanie Middle & High School,Shell Recharge,471 Bel Air Drive,Clatskanie,OR,97016,125,50,0.05,NULL,NULL,NULL,6
Electric Island,Shell Recharge,4717 North Lagoon Avenue,Portland,OR,97217,190,174.8,0.15,NULL,NULL,NULL,NULL
Hillsboro Electric Avenue,Shell Recharge,2295 Southwest Tualatin Valley Highway,Hillsboro,OR,97123,100,40,0.19,NULL,NULL,NULL,5
DTNA Corp,ChargePoint,3698 North Emerson Street,Portland,OR,97217,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DTNA Corp,ChargePoint,5400 North Basin Avenue,Portland,OR,97217,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kroger-Fred Meyer,Electrify America,6850 North Lombard Street,Portland,OR,97203,875,350,0.43,0.31,4,NULL,NULL
Deer Island St Helens City,ChargePoint,260 South 2nd Street,St. Helens,OR,97051,62,62,0.13,NULL,NULL,NULL,NULL
Kroger-Fred Meyer,Electrify America,15995 Southwest Walker Road,Beaverton,OR,97006,875,350,0.43,0.31,4,NULL,NULL
