STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Pacific Science Center,ChargePoint,200 2nd Avenue North,Seattle,WA,98109,100,50,0.35,NULL,NULL,NULL,NULL
Safeway,Electrify America,300 Bellevue Wayne,Bellevue,WA,98004,875,350,0.43,0.31,4,NULL,NULL
Whole Foods Madison Broadway,EVgo,1001 Broadway,Seattle,WA,98122,125,50,0.29,0.25,6.99,NULL,NULL
Walmart,Electrify America,34520 16TH Avenue South,Federal Way,WA,98003,875,350,0.43,0.31,4,NULL,NULL
"QFC 828 (Kirkland, WA)",Electrify America,11224 Northeast 124th Street,Kirkland,WA,98034,875,350,0.43,0.31,4,NULL,NULL
Ballard Blocks,EVgo,1451 Northwest 46th Street,Seattle,WA,98107,125,50,0.29,0.25,6.99,NULL,NULL
Whole Foods Seattle,EVgo,2210 Westlake Avenue,Seattle,WA,98121,125,50,0.29,0.25,6.99,NULL,NULL
Bank of America,Electrify America,1112 South BAILEY Street,Seattle,WA,98108,875,350,0.43,0.31,4,NULL,NULL
Nissan - Everett,ChargePoint,10500 Highway 99,Everett,WA,98204,62,62,NULL,NULL,NULL,0.01,8
"The Outlet Collection ( Auburn, WA)",Electrify America,1101 Outlet Collection Way,Auburn,WA,98001,875,350,0.43,0.31,4,NULL,NULL
Whole Foods Bellevue,EVgo,888 116th Avenue Northeast,Bellevue,WA,98004,125,50,0.29,0.25,6.99,NULL,NULL
100 West Mercer Street,Electrify America,100 West MERCER Street,Seattle,WA,98119,875,350,0.43,0.31,4,NULL,NULL
Pierce Tran Car Bus,ChargePoint,3701 96th Street Southwest,Lakewood,WA,98499,NULL,NULL,NULL,NULL,NULL,NULL,NULL
700 5th Ave Seattle- DC Fast Charger,OpConnect,700 5th Avenue,Seattle,WA,98104,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kroger Fred Meyer 655 (Port Orchard, WA)",Electrify America,1900 Southeast Sedgwick Road,Port Orchard,WA,98366,875,350,0.43,0.31,4,NULL,NULL
Plaza by the Green,Shell Recharge,24437 Russell Road,Kent,WA,98032,100,40,NULL,NULL,NULL,NULL,NULL
"QFC 807 (Seattle, WA)",Electrify America,2746 Northeast 45th Street,Seattle,WA,98105,875,350,0.43,0.31,4,NULL,NULL
Snoqualmie Pass Chevron,Webasto,519 SR 906,Snoqualmie Pass,WA,98068,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Fred Meyer,Electrify America,915 Northwest 45th Street,Seattle,WA,98107,875,350,0.43,0.31,4,NULL,NULL
King Plaza,EVgo,7101 Martin Luther King Jr Way South,Seattle,WA,98118,125,50,0.29,0.25,6.99,NULL,NULL
"BofA Overlake Park WA3-152 (Redmond, WA)",Electrify America,2400 148th Avenue Northeast,Redmond,WA,98502,875,350,0.43,0.31,4,NULL,NULL
Walmart,Electrify America,21200 Olhava Way Northwest,Poulsbo,WA,98370,875,350,0.43,0.31,4,NULL,NULL
Fred Meyer,Electrify America,13000 Lake City Way Northeast,Seattle,WA,98125,875,350,0.43,0.31,4,NULL,NULL
Interbay Business Center,EVgo,1600 West Armory Way,Seattle,WA,98119,125,50,0.29,0.25,6.99,NULL,NULL
Safeway Tacoma,EVgo,1112 South M Street,Tacoma,WA,98405,125,50,0.29,0.25,6.99,NULL,NULL
Korum Hyundai,ChargePoint,111 River Road,Puyallup,WA,98371,62,62,0.3,NULL,NULL,NULL,NULL
Northgate QFC,EVgo,11100 Roosevelt Way Northeast,Seattle,WA,98125,125,50,0.29,0.25,6.99,NULL,NULL
Carkeek Plaza,EVgo,9999 Holman Road Northwest,Seattle,WA,98117,125,50,0.29,0.25,6.99,NULL,NULL
1111 Washington Street Southeast,Shell Recharge,1111 Washington Street Southeast,Olympia,WA,98501,125,50,0.39,NULL,NULL,NULL,NULL
The Hub at Lacey,Shell Recharge,676 Woodland Square Loop Southeast,Lacey,WA,98509,100,40,0.42,NULL,NULL,NULL,NULL
Fast Fuel Station 1,ChargePoint,501 Lilly Road Southeast,Olympia,WA,98501,62,62,0.42,NULL,NULL,0.1,NULL
Olympia Nissan,None,2220 Carriage Drive Southwest,Olympia,WA,98502,NULL,NULL,0,NULL,NULL,NULL,NULL
Cafaro Target Place Plaza,Electrify America,2925 Harrison Avenue Northwest,Olympia,WA,98502,875,350,0.43,0.31,4,NULL,NULL
Dan Wilder Nissan,None,53 Jetta Way,Port Angeles,WA,98362,NULL,NULL,0,NULL,NULL,NULL,NULL
Gateway Transit Center,Shell Recharge,123 Front Street,Port Angeles,WA,98362,125,50,NULL,NULL,NULL,0.3,NULL
Walmart ),Electrify America,3411 East KOLONELS WAY,Port Angeles,WA,98362,875,350,0.43,0.31,4,NULL,NULL
Burlington - The Outlet Shoppes,Webasto,448 Fashion Way,Burlington,WA,98233,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Walmart - Mount Vernon,Electrify America,2301 Freeway Drive,Mount Vernon,WA,98273,875,350,0.43,0.31,4,NULL,NULL
Bellingham - Sehome Village,Webasto,222 36th Street,Bellingham,WA,98325,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Bellingham Nissan,None,1516 Iowa Street,Bellingham,WA,98229,NULL,NULL,0,NULL,NULL,NULL,NULL
Whole Foods Bellingham,EVgo,1030 Lakeway Drive,Bellingham,WA,98229,125,50,0.29,0.25,6.99,NULL,NULL
Fred Meyer,Electrify America,1225 West Bakerview Road,Bellingham,WA,98226,875,350,0.43,0.31,4,NULL,NULL
Community Food Co-op,Shell Recharge,315 Weterly Road,Bellingham,WA,98226,100,40,0.42,NULL,NULL,NULL,NULL
Haggen's Bellingham,EVgo,210 36th Street,Bellingham,WA,98225,125,50,0.29,0.25,6.99,NULL,NULL
Eluminocity,ChargePoint,18613 International Boulevard,SeaTac,WA,98188,100,50,0.35,NULL,NULL,NULL,NULL
