STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Walmart - Spring,Electrify America,1025 Sawdust Road,Spring,TX,77380.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Village Plaza at Bunker Hill,EVgo,9710 Katy Freeway,Houston,TX,77055.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
901 East 5th Street,ChargePoint,901 East 5th Street,Austin,TX,78702.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Austin High School,ChargePoint,2102 Veterans Drive,Austin,TX,78703.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Bartholomew Municipal Pool,ChargePoint,1800 East 51st Street,Austin,TX,78723.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
2011 East 51st Street,ChargePoint,2005 ½ East 51st street,Austin,TX,78723.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Sonora Bank,ChargePoint,100 Stillwater Road,Wimberley,TX,78676.0,"62 A, 62 kW",Cost: Free
The Woodlands Mall,Volta,1201 Lake Woodlands Drive,The Woodlands,TX,77380.0,"? A, ? kW",Cost: Free
Katy Mills,Electrify America,5000 Katy Malls Circle,Katy,TX,77494.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Mueller Market,ChargePoint,1801 East 51st Street,Austin,TX,78723.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
North Star Mall Kona Grill,Volta,7400 San Pedro Avenue,San Antonio,TX,78216.0,"? A, ? kW",Cost: Free
San Jacinto Harley-Davidson,ChargePoint,3636 East Sam Houston Parkway South,Pasadena,TX,77505.0,"50 A, 24 kW",Cost: 6.20$ / Hour
Midsouth Charge Pine Market,ChargePoint,791 Fish Creek Thoroughfare,Montgomery,TX,77316.0,"62 A, 62 kW",Cost: Free
